index,type,subtype,label,offset,size,end,sha256,entropy,printable_strings,all_ff,all_zero
0,data,nvs,nvs,0x00009000,0x5000,0x0000E000,1f55ffcddc1fce4d4ab43d09da1f8e58730a19bf3aadd78331c3eaaa8b9b4410,-0.000,0,true,false
1,data,ota,otadata,0x0000E000,0x2000,0x00010000,f94c5d786a7a8fab06ac5d10e33bf37711a6697636dc037559ea19cc410a17f0,0.019,0,false,false
2,app,ota_0,app0,0x00010000,0x140000,0x00150000,da24ca396977588442318ada1fd10e727c1886c0ebdd147a15317a3afdfbc763,3.744,2618,false,false
3,app,ota_1,app1,0x00150000,0x140000,0x00290000,35805909a516a528e396b6ea22dab437b6f1c703afe92e92dddfa0243bfae738,-0.000,0,true,false
4,data,spiffs,spiffs,0x00290000,0x170000,0x00400000,2a0ad65a735f963eca113e6599151b37d2daacc43813d8fd3a49ec24f8f59c96,-0.000,0,true,false
